stockNo,name,category,vp,mrp,retail,price25,price35,price42,price50,cost50,priceSource,notes
1247,Formula 1 - Nutritional Shake Mix - Vanilla - 500 gms,Weight Management,21.75,2179,2075,1713,1526,1396,1246,1246,grouped-F1-500g,
1248,Formula 1 - Nutritional Shake Mix - Chocolate - 500 gms,Weight Management,21.75,2179,2075,1713,1526,1396,1246,1246,grouped-F1-500g,
1249,Formula 1 - Nutritional Shake Mix - Mango - 500 gms,Weight Management,21.75,2179,2075,1713,1526,1396,1246,1246,grouped-F1-500g,
1269,Formula 1 - Nutritional Shake Mix - Orange Cream - 500 gms,Weight Management,21.75,2179,2075,1713,1526,1396,1246,1246,grouped-F1-500g,
1239,Formula 1 - Nutritional Shake Mix - Strawberry - 500 gms,Weight Management,21.75,2179,2075,1713,1526,1396,1246,1246,own (price line printed here),
4114,Formula 1 - Nutritional Shake Mix - Kulfi - 500 gms,Weight Management,21.75,2179,2075,1713,1526,1396,1246,1246,grouped-F1-500g,
082K,Formula 1 - Nutritional Shake Mix - Banana Caramel - 500 gms,Weight Management,21.75,2179,2075,1713,1526,1396,1246,1246,grouped-F1-500g,
154K,Formula 1 - Nutritional Shake Mix - Rose Kheer - 500 gms,Weight Management,21.75,2179,2075,1713,1526,1396,1246,1246,grouped-F1-500g,
287K,Formula 1 Nutritional Shake Mix - Paan - 500 gms,Weight Management,21.75,2179,2075,1713,1526,1396,1246,1246,grouped-F1-500g,
529K,Formula 1 Nutritional Shake Mix - Dates Caramel - 500 gms,Weight Management,21.75,2179,2075,1713,1526,1396,1246,1246,grouped-F1-500g,
406K,Formula 1 Mango - 750 Gms,Weight Management,32.65,3227,3073,2537,2261,2068,1847,1847,grouped-F1-750g,
407K,Formula 1 Vanilla - 750 Gms,Weight Management,32.65,3227,3073,2537,2261,2068,1847,1847,own (price line printed here),
408K,Formula 1 Rose Kheer - 750 Gms,Weight Management,32.65,3227,3073,2537,2261,2068,1847,1847,grouped-F1-750g,
409K,Formula 1 Kulfi - 750 Gms,Weight Management,32.65,3227,3073,2537,2261,2068,1847,1847,grouped-F1-750g,
